recognitionNo,ingredientName,recognizedAt,companyName,officialFunctionRaw,officialFunctionNormalized,dailyIntakeRaw,dailyIntakeNormalized,precautionsRaw,precautionsNormalized,sourceName,ingredientMasterId
2006-11,식물스타놀에스테르,2006-07-12,와이에치푸드(주),“식물스타놀 에스테르는 높은 혈중 콜레스테롤 수치 개선에 도움을 줄 수 있습니다(기타기능Ⅱ)”,"""식물스타놀 에스테르는 높은 혈중 콜레스테롤 수치 개선에 도움을 줄 수 있습니다(기타기능Ⅱ)""",“식물스타놀 에스테르” 로서 2.5？3.4 g/일,"""식물스타놀 에스테르"" 로서 2.5？3.4 g/일",식물 스타놀 에스테르는 지용성 비타민의 흡수를 저해할 수 있습니다.,식물 스타놀 에스테르는 지용성 비타민의 흡수를 저해할 수 있습니다.,식품안전나라,351
2006-15,라피노스,2006-08-17,(주)대덕약업,"""장내 유익균의 증식과 유해균의 억제에 도움을 줄 수 있습니다."" “배변활동을 원활히 하는데 도움을 줄 수 있습니다.” (기타기능II)","""장내 유익균의 증식과 유해균의 억제에 도움을 줄 수 있습니다."" ""배변활동을 원활히 하는데 도움을 줄 수 있습니다."" (기타기능II)",.,,제안된 섭취량보다 많은 양을 섭취할 때에는 설사를 유발할 수 있습니다.,제안된 섭취량보다 많은 양을 섭취할 때에는 설사를 유발할 수 있습니다.,식품안전나라,200
2006-16,가쯔오부시 올리고 펩타이드,2006-08-17,(주)메코,"""혈압이 걱정되시는 분에게 도움을 줄 수 있습니다."" (기타기능II)","""혈압이 걱정되시는 분에게 도움을 줄 수 있습니다."" (기타기능II)",(지표성분으로서 5 mg),(지표성분으로서 5 mg),"◆ 임산부, 수유부는 섭취를 삼가시기 바랍니다.
◆ 어린이, 노인, 신부전이 있는 사람, 혈압약을 복용하시는 분이 섭취 시에는 의사와 상담하셔야 합니다.","◆ 임산부, 수유부는 섭취를 삼가시기 바랍니다. ◆ 어린이, 노인, 신부전이 있는 사람, 혈압약을 복용하시는 분이 섭취 시에는 의사와 상담하셔야 합니다.",식품안전나라,106
2006-18,글루코사민,2006-08-17,카길트레이딩,"관절 및 연골의 구성성분
관절 및 연골을 튼튼히 하는데 도움
관절 및 연골건강에 도움",관절 및 연골의 구성성분 관절 및 연골을 튼튼히 하는데 도움 관절 및 연골건강에 도움,.,,,,식품안전나라,139
2006-19,카제인가수분해물,2006-08-17,씨제이웰케어,"""혈압이 걱정되시는 분에게 도움을 줄 수 있습니다."" (기타기능II)","""혈압이 걱정되시는 분에게 도움을 줄 수 있습니다."" (기타기능II)",.,,"- 임산부, 수유부는 섭취를 삼가시기 바랍니다.
- 어린이, 노인, 신부전이 있는 사람, 혈압약    을 복용하시는 분이 섭취 시에는 의사와     상담하셔야 합니다.","- 임산부, 수유부는 섭취를 삼가시기 바랍니다. - 어린이, 노인, 신부전이 있는 사람, 혈압약 을 복용하시는 분이 섭취 시에는 의사와 상담하셔야 합니다.",식품안전나라,487
2006-21,Tonalin CLA FFA,2006-09-29,한국암웨이(주),"“공액리놀레산(Conjugated Linoleic Acid)는 과체중인 성인의 체지방 감소에 도움을 줄 수 있습니다.”

(과체중인 성인을 대상으로 한 인체시험에서 CLA를 섭취한 경우 체지방(fat mass)감소에 도움을 줄 수 있음이 많은 자료에서 확인되었으나 한국인을 대상으로 한 자료가 없었음. 따라서 반드시 ‘---에 도움을 줄 수 있습니다’의 형식으로 표시하여야 함.)","""공액리놀레산(Conjugated Linoleic Acid)는 과체중인 성인의 체지방 감소에 도움을 줄 수 있습니다."" (과체중인 성인을 대상으로 한 인체시험에서 CLA를 섭취한 경우 체지방(fat mass)감소에 도움을 줄 수 있음이 많은 자료에서 확인되었으나 한국인을 대상으로 한 자료가 없었음. 따라서 반드시 '---에 도움을 줄 수 있습니다'의 형식으로 표시하여야 함.)","공액리놀레산(cis-9, trans-11 CLA, trans-10, cis-12 CLA, cis-9, cis-11 CLA, trans-9, trans-11 CLA 이성체의 합계 량) 으로","공액리놀레산(cis-9, trans-11 CLA, trans-10, cis-12 CLA, cis-9, cis-11 CLA, trans-9, trans-11 CLA 이성체의 합계 량) 으로","1. 위장장애가 발생할 수 있습니다.
2. 영유아, 임산부는 섭취를 삼가야 해야 합니다.
3. 식사조절, 운동을 병행하는 것이 바람직합니다.","1. 위장장애가 발생할 수 있습니다. 2. 영유아, 임산부는 섭취를 삼가야 해야 합니다. 3. 식사조절, 운동을 병행하는 것이 바람직합니다.",식품안전나라,84
2006-22,Tonalin CLA TG(트리글리세라이드),2006-09-29,한국암웨이(주),"“공액리놀레산(Conjugated Linoleic Acid)는 과체중인 성인의 체지방 감소에 도움을 줄 수 있습니다.”

(과체중인 성인을 대상으로 한 인체시험에서 CLA를 섭취한 경우 체지방(fat mass)감소에 도움을 줄 수 있음이 많은 자료에서 확인되었으나 한국인을 대상으로 한 자료가 없었음. 따라서 반드시 ‘---에 도움을 줄 수 있습니다’의 형식으로 표시하여야 함.)","""공액리놀레산(Conjugated Linoleic Acid)는 과체중인 성인의 체지방 감소에 도움을 줄 수 있습니다."" (과체중인 성인을 대상으로 한 인체시험에서 CLA를 섭취한 경우 체지방(fat mass)감소에 도움을 줄 수 있음이 많은 자료에서 확인되었으나 한국인을 대상으로 한 자료가 없었음. 따라서 반드시 '---에 도움을 줄 수 있습니다'의 형식으로 표시하여야 함.)","공액리놀레산(cis-9, trans-11 CLA, trans-10, cis-12 CLA, cis-9, cis-11 CLA, trans-9, trans-11 CLA 이성체의 합계량) 으로","공액리놀레산(cis-9, trans-11 CLA, trans-10, cis-12 CLA, cis-9, cis-11 CLA, trans-9, trans-11 CLA 이성체의 합계량) 으로","1. 위장장애가 발생할 수 있습니다.
2. 영유아, 임산부는 섭취를 삼가야 해야 합니다.
3. 식사조절, 운동을 병행하는 것이 바람직합니다.","1. 위장장애가 발생할 수 있습니다. 2. 영유아, 임산부는 섭취를 삼가야 해야 합니다. 3. 식사조절, 운동을 병행하는 것이 바람직합니다.",식품안전나라,86
2009-43,히알우론산 HA-LF-P,2009-04-29,씨제이제일제당(주),“피부 보습에 도움을 줄 수 있습니다.”,"""피부 보습에 도움을 줄 수 있습니다.""",히알우론산나트륨으로서 120~240mg,히알우론산나트륨으로서 120~240mg,"1) 임산부와 수유기 여성은 섭취를 피하는 것이 좋습니다.                                                                                                                                                                    
2) 알레르기 및 특이체질, 질병치료 중인 사람은 섭취를 피하는 것이 좋습니다.","1) 임산부와 수유기 여성은 섭취를 피하는 것이 좋습니다. 2) 알레르기 및 특이체질, 질병치료 중인 사람은 섭취를 피하는 것이 좋습니다.",식품안전나라,606
2014-39,닭가슴연골분말(UC-Ⅱ),2014-08-19,(주)뉴트리,관절건강에 도움을 줄 수 있음(생리활성기능 2등급),관절건강에 도움을 줄 수 있음(생리활성기능 2등급),닭가슴연골분말로서 40  mg/일,닭가슴연골분말로서 40 mg/일,"1) 임산부, 수유부는 섭취 시 의사와 상담
2) 복용중인 의약품이 있는 분은 섭취 시 의사와 상담","1) 임산부, 수유부는 섭취 시 의사와 상담 2) 복용중인 의약품이 있는 분은 섭취 시 의사와 상담",식품안전나라,167
2005-10,이소말토올리고당,2005-06-08,유한회사 사조씨피케이,"""장내 유익균의 증식과 유해균의 억제에 도움을 줄 수 있습니다."", ""배변활동을 원활히 하는데 도움을 줄 수 있습니다.""

◆ 인체시험에서 이소말토올리고당을 섭취할 경우 장내 유익균의 증식과 유해균을 억제하고, 배변활동을 원활히 하는데 도움을 줄 수 있음을 확인하였으나 자료의 수가 제한되어 있음. 따라서 반드시 ‘---에 도움을 줄 수 있습니다’의 형식으로 표시하여야 함.","""장내 유익균의 증식과 유해균의 억제에 도움을 줄 수 있습니다."", ""배변활동을 원활히 하는데 도움을 줄 수 있습니다."" ◆ 인체시험에서 이소말토올리고당을 섭취할 경우 장내 유익균의 증식과 유해균을 억제하고, 배변활동을 원활히 하는데 도움을 줄 수 있음을 확인하였으나 자료의 수가 제한되어 있음. 따라서 반드시 '---에 도움을 줄 수 있습니다'의 형식으로 표시하여야 함.",이소말토올리고당으로서,이소말토올리고당으로서,과량으로 섭취 시에는 설사를 유발할 수 있습니다.,과량으로 섭취 시에는 설사를 유발할 수 있습니다.,식품안전나라,433
2005-16,CALRINOL 공액리놀레산(지방산 형태),2005-08-04,(주)태성뉴트라테크,"“공액리놀레산(Conjugated Linoleic Acid)는 과체중인 성인의 체지방 감소에 도움을 줄 수 있습니다.”

(과체중인 성인을 대상으로 한 인체시험에서 CLA를 섭취한 경우 체지방(fat mass)감소에 도움을 줄 수 있음이 많은 자료에서 확인되었으나 한국인을 대상으로 한 자료가 없었음. 따라서 반드시 ‘---에 도움을 줄 수 있습니다’의 형식으로 표시하여야 함.)","""공액리놀레산(Conjugated Linoleic Acid)는 과체중인 성인의 체지방 감소에 도움을 줄 수 있습니다."" (과체중인 성인을 대상으로 한 인체시험에서 CLA를 섭취한 경우 체지방(fat mass)감소에 도움을 줄 수 있음이 많은 자료에서 확인되었으나 한국인을 대상으로 한 자료가 없었음. 따라서 반드시 '---에 도움을 줄 수 있습니다'의 형식으로 표시하여야 함.)","공액리놀레산 (cis-9, trans-11 CLA, trans-10, cis-12 CLA, cis-9, cis-11 CLA, trans-9, trans-11 CLA)으로","공액리놀레산 (cis-9, trans-11 CLA, trans-10, cis-12 CLA, cis-9, cis-11 CLA, trans-9, trans-11 CLA)으로","1. 위장장애가 발생할 수 있습니다.
2. 영유아, 임산부는 섭취를 삼가야 해야 합니다.
3. 식사조절, 운동을 병행하는 것이 바람직합니다.","1. 위장장애가 발생할 수 있습니다. 2. 영유아, 임산부는 섭취를 삼가야 해야 합니다. 3. 식사조절, 운동을 병행하는 것이 바람직합니다.",식품안전나라,12
2005-17,CALRINOL 공액리놀레산(트리글리세라이드 형태),2005-08-04,(주)태성뉴트라테크,"“공액리놀레산(Conjugated Linoleic Acid)는 과체중인 성인의 체지방 감소에 도움을 줄 수 있습니다.”

(과체중인 성인을 대상으로 한 인체시험에서 CLA를 섭취한 경우 체지방(fat mass)감소에 도움을 줄 수 있음이 많은 자료에서 확인되었으나 한국인을 대상으로 한 자료가 없었음. 따라서 반드시 ‘---에 도움을 줄 수 있습니다’의 형식으로 표시하여야 함.)","""공액리놀레산(Conjugated Linoleic Acid)는 과체중인 성인의 체지방 감소에 도움을 줄 수 있습니다."" (과체중인 성인을 대상으로 한 인체시험에서 CLA를 섭취한 경우 체지방(fat mass)감소에 도움을 줄 수 있음이 많은 자료에서 확인되었으나 한국인을 대상으로 한 자료가 없었음. 따라서 반드시 '---에 도움을 줄 수 있습니다'의 형식으로 표시하여야 함.)","공액리놀레산 (cis-9, trans-11 CLA, trans-10, cis-12 CLA, cis-9, cis-11 CLA 및 trans-9, trans-11 CLA)으로","공액리놀레산 (cis-9, trans-11 CLA, trans-10, cis-12 CLA, cis-9, cis-11 CLA 및 trans-9, trans-11 CLA)으로","1. 위장장애가 발생할 수 있습니다.
2. 영유아, 임산부는 섭취를 삼가야 해야 합니다.
3. 식사조절, 운동을 병행하는 것이 바람직합니다.","1. 위장장애가 발생할 수 있습니다. 2. 영유아, 임산부는 섭취를 삼가야 해야 합니다. 3. 식사조절, 운동을 병행하는 것이 바람직합니다.",식품안전나라,13
2009-64,가르시니아 캄보지아 껍질추출물,2009-07-20,주식회사 오셔너스,“탄수화물에서 지방으로의 합성을 억제하여 체지방 감소에 도움을 줍니다(기타기능Ⅰ)”,"""탄수화물에서 지방으로의 합성을 억제하여 체지방 감소에 도움을 줍니다(기타기능Ⅰ)""","총 (-)-HCA로서 750~2,800 mg/일","총 (-)-HCA로서 750~2,800 mg/일",1) 임산부와 수유기 여성은 섭취를 피하는 것이 좋습니다.,1) 임산부와 수유기 여성은 섭취를 피하는 것이 좋습니다.,식품안전나라,93
2009-85,쏘팔메토 열매 추출물,2009-10-28,진용내츄럴,“전립선 건강의 유지에 도움을 줄 수 있습니다” (기타기능 II),"""전립선 건강의 유지에 도움을 줄 수 있습니다"" (기타기능 II)",쏘팔메토 열매추출물로서 320 mg,쏘팔메토 열매추출물로서 320 mg,"1) 임산부, 수유여성은 섭취에 주의
2) 메스꺼움이나 설사 등 소화계통의 불편함을 유발할 수 있음","1) 임산부, 수유여성은 섭취에 주의 2) 메스꺼움이나 설사 등 소화계통의 불편함을 유발할 수 있음",식품안전나라,363
2008-54,Rain Nutrience DistilPureTM MSM,2008-10-04,(주)지텍뉴트리언스,관절건강에 도움이 될 수 있습니다(기타기능II),관절건강에 도움이 될 수 있습니다(기타기능II),MSM로서 1.5~2.0g,MSM로서 1.5~2.0g,본 제품은 관절건강에 도움을 줄 수 있으나 치료의 목적으로 사용될 수 없습니다.,본 제품은 관절건강에 도움을 줄 수 있으나 치료의 목적으로 사용될 수 없습니다.,식품안전나라,82
2009-32,가르시니아 캄보지아 추출물,2009-04-08,뉴트리펀코리아컨설팅,“탄수화물에서 지방으로의 합성을 억제하여 체지방 감소에 도움을 줍니다”(기타기능 I),"""탄수화물에서 지방으로의 합성을 억제하여 체지방 감소에 도움을 줍니다""(기타기능 I)","총 (-)-HCA로서 750~2,800 mg/day","총 (-)-HCA로서 750~2,800 mg/day",1) 임산부와 수유기 여성은 섭취를 피하는 것이 좋습니다.,1) 임산부와 수유기 여성은 섭취를 피하는 것이 좋습니다.,식품안전나라,101
2009-80,자일로올리고당(xylooligosaccharide) 분말,2009-10-21,에이치씨엔,"“장내 유익균 증식, 유해균 억제, 배변활동에 도움을 줄 수 있음”(기타기능II","""장내 유익균 증식, 유해균 억제, 배변활동에 도움을 줄 수 있음""(기타기능II",자일로올리고당으로서 0.7~7.5g,자일로올리고당으로서 0.7~7.5g,1) 과량으로 섭취 시 설사를 유발할 수도 있습니다.,1) 과량으로 섭취 시 설사를 유발할 수도 있습니다.,식품안전나라,442
2009-78,홍경천추출물 KH101,2009-10-15,(주)경희매니지먼트컴퍼니,“스트레스로 인한 피로개선에 도움을 줄 수 있음”(기타기능II),"""스트레스로 인한 피로개선에 도움을 줄 수 있음""(기타기능II)",홍경천추출물로서 200~600mg/day,홍경천추출물로서 200~600mg/day,"1) 영.유아, 임산부, 수유부는 섭취에 주의하시기 바랍니다. 
2) 알레르기 체질이거나 특정질환이 있는 분은 섭취 전 의사와 상담하시기 바랍니다.","1) 영.유아, 임산부, 수유부는 섭취에 주의하시기 바랍니다. 2) 알레르기 체질이거나 특정질환이 있는 분은 섭취 전 의사와 상담하시기 바랍니다.",식품안전나라,583
2009-81,자일로올리고당(xylooligosaccharide) 액상,2009-10-21,에이치씨엔,"“장내 유익균 증식, 유해균 억제, 배변활동에 도움을 줄 수 있음”(기타기능II)","""장내 유익균 증식, 유해균 억제, 배변활동에 도움을 줄 수 있음""(기타기능II)",자일로올리고당으로서 0.7~7.5 g,자일로올리고당으로서 0.7~7.5 g,1) 과량으로 섭취 시 설사를 유발할 수도 있습니다.,1) 과량으로 섭취 시 설사를 유발할 수도 있습니다.,식품안전나라,443
2009-82,가르시니아 캄보지아 껍질추출물,2009-10-19,주영엔에스(주),“탄수화물에서 지방으로의 합성을 억제하여 체지방 감소에 도움을 줍니다”(기타기능 I),"""탄수화물에서 지방으로의 합성을 억제하여 체지방 감소에 도움을 줍니다""(기타기능 I)","총 (-)-HCA로서 750~2,800 mg/day","총 (-)-HCA로서 750~2,800 mg/day",1) 임산부와 수유기 여성은 섭취를 피하는 것이 좋습니다.,1) 임산부와 수유기 여성은 섭취를 피하는 것이 좋습니다.,식품안전나라,93
