id,standardName,ingredientCode,ingredientCategory,supportStatus
1,AP 콜라겐 효소분해 펩타이드,,FUNCTIONAL_INGREDIENT,UNRESOLVED
2,APIC 대두배아열수추출물등 복합물,,FUNCTIONAL_INGREDIENT,UNRESOLVED
3,Akkermansia muciniphila EB-AMDK19 열처리배양건조물,,FUNCTIONAL_INGREDIENT,UNRESOLVED
4,Akkermansia muciniphila HB05 열처리배양건조물(HB05P),,FUNCTIONAL_INGREDIENT,UNRESOLVED
5,B. breve IDCC 4401 열처리배양건조물(BBR®),,FUNCTIONAL_INGREDIENT,UNRESOLVED
6,BT-11원지추출분말,,FUNCTIONAL_INGREDIENT,UNRESOLVED
7,Bacillus coagulans BC99 프로바이오틱스,,FUNCTIONAL_INGREDIENT,UNRESOLVED
8,Bacillus coagulans SNZ 1969 프로바이오틱스,,FUNCTIONAL_INGREDIENT,UNRESOLVED
9,Bacillus coagulans Unique IS-2 프로바이오틱스,,FUNCTIONAL_INGREDIENT,UNRESOLVED
10,Bifidobacterium breve B-3 프로바이오틱스,,FUNCTIONAL_INGREDIENT,UNRESOLVED
11,Bimuno GOS powder,,FUNCTIONAL_INGREDIENT,UNRESOLVED
12,CALRINOL 공액리놀레산(지방산 형태),,FUNCTIONAL_INGREDIENT,UNRESOLVED
13,CALRINOL 공액리놀레산(트리글리세라이드 형태),,FUNCTIONAL_INGREDIENT,UNRESOLVED
14,CJ식물성유지 디글리세라이드(DG),,FUNCTIONAL_INGREDIENT,UNRESOLVED
15,CJ저분자콜라겐펩타이드,,FUNCTIONAL_INGREDIENT,UNRESOLVED
16,CLA FFA,,FUNCTIONAL_INGREDIENT,UNRESOLVED
17,CLA-80HGR,,FUNCTIONAL_INGREDIENT,UNRESOLVED
18,CLA-80TAG (트리글리세리드형태),,FUNCTIONAL_INGREDIENT,UNRESOLVED
19,CLARIONL 공액리놀렌산(트리글리세라이드 형태),,FUNCTIONAL_INGREDIENT,UNRESOLVED
20,CMO 함유 FAC(Fatty Acid Complex),,FUNCTIONAL_INGREDIENT,UNRESOLVED
21,Ca-PGA,,FUNCTIONAL_INGREDIENT,UNRESOLVED
22,CaHMB(Calcium β-Hydroxy-β-methylbutyrate),,FUNCTIONAL_INGREDIENT,UNRESOLVED
23,Collactive 콜라겐펩타이드,,FUNCTIONAL_INGREDIENT,UNRESOLVED
24,Dimethylsulfone(MSM),,FUNCTIONAL_INGREDIENT,UNRESOLVED
25,EPA 및 DHA 함유 유지,EPA_DHA,FUNCTIONAL_INGREDIENT,SUPPORTED
26,EPA 및 DHA 함유 유지(고시형 원료),,FUNCTIONAL_INGREDIENT,UNRESOLVED
27,Enterococcus faecalis FK-23 효소 및 가열처리분말(LFK),,FUNCTIONAL_INGREDIENT,UNRESOLVED
28,FK-23(Enterococcus faecalis 가열처리 건조분말),,FUNCTIONAL_INGREDIENT,UNRESOLVED
29,FloraGLO Lutein(20% liquid in safflower oil),,FUNCTIONAL_INGREDIENT,UNRESOLVED
30,Free Lutein 복합물(Lutein 20% FS),,FUNCTIONAL_INGREDIENT,UNRESOLVED
31,Geo-Fresh Organic 가르시니아 캄보지아 껍질추출물,,FUNCTIONAL_INGREDIENT,UNRESOLVED
32,Green Mate Extract EFLA® 920,,FUNCTIONAL_INGREDIENT,UNRESOLVED
33,HK 나토배양물,,FUNCTIONAL_INGREDIENT,UNRESOLVED
34,HK표고버섯균사체,,FUNCTIONAL_INGREDIENT,UNRESOLVED
35,KANEKA Q10,,FUNCTIONAL_INGREDIENT,UNRESOLVED
36,KD-28 복합추출분말(제2007-13호),,UNKNOWN,UNRESOLVED
37,L-arabinose,,FUNCTIONAL_INGREDIENT,UNRESOLVED
38,L-글루타민,,FUNCTIONAL_INGREDIENT,UNRESOLVED
39,L-글루타민산 유래 GABA 함유 분말,,FUNCTIONAL_INGREDIENT,UNRESOLVED
40,L-글루탐산발효 가바분말,,FUNCTIONAL_INGREDIENT,UNRESOLVED
41,L-아르기닌,,FUNCTIONAL_INGREDIENT,UNRESOLVED
42,L-카르니틴 타르트레이트,,FUNCTIONAL_INGREDIENT,UNRESOLVED
43,L-테아닌,,FUNCTIONAL_INGREDIENT,UNRESOLVED
44,L. Helveticus 발효물,,FUNCTIONAL_INGREDIENT,UNRESOLVED
45,L. curvatus HY7601와 L. plantarum KY1032의 프로바이오틱스 복합물,,FUNCTIONAL_INGREDIENT,UNRESOLVED
46,L. mucosae NK41과 B. longum NK46의 프로바이오틱스 복합물(NVP-2106),,FUNCTIONAL_INGREDIENT,UNRESOLVED
47,L. plantarum LC27과 B. longum LC67의 프로바이오틱스 복합물(NVP-1702),,FUNCTIONAL_INGREDIENT,UNRESOLVED
48,L. rhamnosus IDCC 3201 열처리배양건조물(RHT®),,FUNCTIONAL_INGREDIENT,UNRESOLVED
49,L.plantarum IM76과 B.longum IM55복합물(NVP1703),,FUNCTIONAL_INGREDIENT,UNRESOLVED
50,Lacticaseibacillus paracasei BEPC22와 Lactiplantibacillus plantarum BELP53의 프로바이오틱스 복합,,FUNCTIONAL_INGREDIENT,UNRESOLVED
51,Lacticaseibacillus paracasei HY7017 프로바이오틱스,,FUNCTIONAL_INGREDIENT,UNRESOLVED
52,Lacticaseibacillus paracasei subsp. paracasei 327(K-1) 열처리배양건조물,,FUNCTIONAL_INGREDIENT,UNRESOLVED
53,Lactiplantibacillus plantarum ATG-K2 프로바이오틱스,,FUNCTIONAL_INGREDIENT,UNRESOLVED
54,Lactiplantibacillus plantarum C29 프로바이오틱스와 발효대두분말의 복합물(DW2009),,FUNCTIONAL_INGREDIENT,UNRESOLVED
55,Lactiplantibacillus plantarum CJLP133 프로바이오틱스,,FUNCTIONAL_INGREDIENT,UNRESOLVED
56,Lactiplantibacillus plantarum HAC01 프로바이오틱스,,FUNCTIONAL_INGREDIENT,UNRESOLVED
57,Lactiplantibacillus plantarum LMT1-48 프로바이오틱스,,FUNCTIONAL_INGREDIENT,UNRESOLVED
58,Lactiplantibacillus plantarum NK151과 Bifidobacterium bifidum NK175의 프로바이오틱스 복합물(LB101,,FUNCTIONAL_INGREDIENT,UNRESOLVED
59,Lactiplantibacillus plantarum PBS067 등 프로바이오틱스 복합물(PBS),,FUNCTIONAL_INGREDIENT,UNRESOLVED
60,Lactiplantibacillus plantarum Q180,,FUNCTIONAL_INGREDIENT,UNRESOLVED
61,Lactobacillus acidophilus YT1,,FUNCTIONAL_INGREDIENT,UNRESOLVED
62,Lactobacillus delbrueckii subsp. lactis CKDB001 프로바이오틱스,,FUNCTIONAL_INGREDIENT,UNRESOLVED
63,Lactobacillus gasseri BNR17,,FUNCTIONAL_INGREDIENT,UNRESOLVED
64,Lactobacillus plantarum TWK10 프로바이오틱스,,FUNCTIONAL_INGREDIENT,UNRESOLVED
65,Lactobacillus sakei Probio65,,FUNCTIONAL_INGREDIENT,UNRESOLVED
66,Lactococcus lactis subsp. lactis CAB701 프로바이오틱스,,FUNCTIONAL_INGREDIENT,UNRESOLVED
67,Latilactobacillus curvatus LB-P9 프로바이오틱스,,FUNCTIONAL_INGREDIENT,UNRESOLVED
68,Latilactobacillus sakei K040706 열처리배양건조물(노바사케이),,FUNCTIONAL_INGREDIENT,UNRESOLVED
69,Latilactobacillus sakei LB-P12 프로바이오틱스,,FUNCTIONAL_INGREDIENT,UNRESOLVED
70,Lutein20%(Parry Xanmax 20%),,FUNCTIONAL_INGREDIENT,UNRESOLVED
71,MR-10 민들레등복합추출물,,FUNCTIONAL_INGREDIENT,UNRESOLVED
72,MS-10 엉겅퀴등복합추출물,,FUNCTIONAL_INGREDIENT,UNRESOLVED
73,MSM,,FUNCTIONAL_INGREDIENT,UNRESOLVED
74,Methyl Slufonyl Methane(MSM),,FUNCTIONAL_INGREDIENT,UNRESOLVED
75,N-아세틸글루코사민,,UNKNOWN,UNRESOLVED
76,NAG,,FUNCTIONAL_INGREDIENT,UNRESOLVED
77,"NAG(엔에이지, N-아세틸글루코사민, N-Acetylglucosamine)",,UNKNOWN,UNRESOLVED
78,Nopal추출물,,FUNCTIONAL_INGREDIENT,UNRESOLVED
79,Novasoy,,FUNCTIONAL_INGREDIENT,UNRESOLVED
80,Opti MSM,,FUNCTIONAL_INGREDIENT,UNRESOLVED
81,PMO참밀알부민,,FUNCTIONAL_INGREDIENT,UNRESOLVED
82,Rain Nutrience DistilPureTM MSM,,FUNCTIONAL_INGREDIENT,UNRESOLVED
83,TEAVIGO (고순도 녹차 EGCG 90%),,FUNCTIONAL_INGREDIENT,UNRESOLVED
84,Tonalin CLA FFA,,FUNCTIONAL_INGREDIENT,UNRESOLVED
85,Tonalin CLA TG,,FUNCTIONAL_INGREDIENT,UNRESOLVED
86,Tonalin CLA TG(트리글리세라이드),,FUNCTIONAL_INGREDIENT,UNRESOLVED
87,UREX 프로바이오틱스,,FUNCTIONAL_INGREDIENT,UNRESOLVED
88,Weissella cibaria CMU 프로바이오틱스,,FUNCTIONAL_INGREDIENT,UNRESOLVED
89,Weissella confusa WIKIM51 프로바이오틱스(Wilac D001),,FUNCTIONAL_INGREDIENT,UNRESOLVED
90,[기능성원료 아님] 제조용 원료,,NON_FUNCTIONAL,EXCLUDED
91,weissella cibaria JW15 프로바이오틱스,,FUNCTIONAL_INGREDIENT,UNRESOLVED
92,가다랑어 엘라스틴 펩타이드,,FUNCTIONAL_INGREDIENT,UNRESOLVED
