rawText,ingredientMasterId
산화아연(고시형),378
비타민D3혼합제제,306
산화아연,378
비타민B6염산염,304
판토텐산칼슘(고시형),523
니코틴산아미드(고시형),147
비타민 B2(고시형),303
비타민 C(고시형),305
엽산(고시형),395
혼합제제,90
Lactiplantibacillus plantarum(고시형),541
홍삼농축액(고시형),586
건조효모,90
니코틴산아미드,147
유산균혼합분말,541
프로바이오틱스(고시형),541
비오틴(고시형),298
가르시니아캄보지아 추출물(고시형),101
d-α-토코페롤,307
판토텐산칼슘,523
비타민B1염산염,301
비타민B2,303
황산망간(고시형),236
Bifidobacterium animalis ssp. lactis(고시형),541
비타민 B6(고시형),304
Lacticaseibacillus rhamnosus(고시형),541
산화마그네슘(고시형),226
비타민 D3(고시형),306
아셀렌산나트륨(고시형),336
비타민 B1염산염(고시형),301
건조효모(셀렌함유),336
EPA 및 DHA 함유 유지(고시형),25
비타민C,305
비타민 E(고시형),307
마리골드꽃추출물(고시형),231
엽산,395
바나바잎 추출물(고시형),260
Bifidobacterium longum(고시형),541
글루콘산아연(고시형),378
엠에스엠(고시형),389
Lactobacillus acidophilus(고시형),541
비타민E혼합제제,307
밀크씨슬(카르두스 마리아누스) 추출물(고시형),258
비타민 A 혼합제제,300
황산망간,236
은행잎추출물(고시형),430
비타민K1혼합제제,308
건조효모(크롬함유),501
비타민 B12(고시형),302
비타민B12,302
분말비타민A혼합제제,300
차전자피식이섬유(고시형),471
비타민 B1(고시형),301
산화마그네슘,226
비타민B12혼합제제분말,302
Bifidobacterium bifidum(고시형),541
비오틴,298
셀레늄(고시형),336
Streptococcus thermophilus(고시형),541
아셀렌산나트륨,336
D-알파-토코페롤(고시형),307
해조칼슘,491
비타민 B1질산염(고시형),301
코엔자임Q10(고시형),493
비타민 A(고시형),300
비타민D3혼합제제분말,306
프로폴리스추출물(고시형),550
푸마르산제일철(고시형),482
Limosilactobacillus reuteri(고시형),541
스테아린산마그네슘(고시형),90
칼슘(고시형),491
Bifidobacterium breve(고시형),541
Lacticaseibacillus casei(고시형),541
글루콘산동(고시형),124
포스파티딜세린(고시형),530
Lactococcus lactis(고시형),541
정제어유,25
건조효모(비타민D),306
건조효모(몰디브덴함유),243
홍삼농축액,586
글루콘산아연,378
헤마토코쿠스추출물(고시형),572
난소화성말토덱스트린(고시형),153
Enterococcus faecium(고시형),541
비타민C혼합제제,305
Lacticaseibacillus paracasei(고시형),541
요오드칼륨(고시형),414
피리독신염산염(고시형),304
황산동(고시형),124
프락토올리고당(고시형),540
Limosilactobacillus fermentum(고시형),541
비오틴 혼합분말,298
크롬(고시형),501
녹차추출물(고시형),159
푸마르산제일철,482
옥타코사놀(고시형),408
히알루론산(고시형),603
L-테아닌(고시형),43
Lactobacillus helveticus(고시형),541
Lactobacillus gasseri(고시형),541
홍경천 추출물(고시형),582
쏘팔메토 열매 추출물(고시형),363
홍삼,586
"NAG(엔에이지, N-아세틸글루코사민, N-Acetylglucosamine)(고시형)",77
비타민E혼합제제분말,307
녹차추출물분말(고시형),159
비타민B1질산염,301
비타민 D(고시형),306
홍삼(고시형),586
유청단백분말,163
프로바이오틱스분말(고시형),541
뮤코다당.단백(고시형),245
황산동,124
글루콘산마그네슘(고시형),226
홍삼농축액분말,586
메틸테트라히드로엽산글루코사민,395
비타민 K1(고시형),308
몰리브덴(고시형),243
베타카로틴혼합제제,277
비타민 K2(고시형),308
요오드칼륨,414
글루콘산동,124
건조효모(아연함유),378
옥타코사놀 함유 유지(고시형),408
탄산칼슘(고시형),491
테아닌(고시형),514
Ligilactobacillus salivarius(고시형),541
비타민 D3 혼합제제유지,306
베타카로틴(고시형),277
피로인산제이철(고시형),482
비오틴 혼합,298
6년근(고시형),586
유청칼슘,491
프로폴리스추출물분말,550
회화나무열매추출물(고시형),597
아연(고시형),378
구연산칼슘(고시형),491
분말비타민D3혼합제제,306
분말비타민B12혼합제제,302
나이아신(고시형),147
기타가공품,142
스테아린산마그네슘,90
7종 혼합유산균,541
홍국분말(고시형),584
인디안구스베리추출물분말,305
홍삼농축액(농축물),586
비타민K2,308
탄산칼슘,491
해조혼합분말,491
레티닐 팔미트산염 혼합제제,300
대두이소플라본(고시형),175
분리대두단백,163
홍국(고시형),584
비타민A혼합분말,300
쌀발효분말,226
콜레우스포스콜리 추출물(고시형),496
흑삼농축액,586
폴리감마글루탐산(고시형),532
밀크씨슬추출물,259
발효홍삼농축액,586
글루콘산마그네슘,226
건조효모(비오틴 함유),298
프락토올리고당,540
밀크씨슬추출물분말,259
보라지유(고시형),109
황산아연(고시형),378
구연산칼슘,491
피로인산제이철 혼합제제,482
마그네슘(고시형),226
d-α-토코페릴호박산,307
유성비타민A지방산에스테르,300
비타민D3 분말,306
옥타코사놀분말(고시형),408
크레아틴(고시형),500
바나바잎추출물,260
젖산마그네슘(고시형),226
단백질(고시형),163
비타민 A 혼합제제분말,300
비타민 K 혼합제제,308
감마리놀렌산 함유 유지(고시형),109
산호분말,491
DL-알파-토코페릴초산염 혼합제제,307
히알루론산,603
Lactobacillus delbrueckii ssp. bulgaricus(고시형),541
Lactobacillus bulgaricus,541
패각분말,491
인삼농축액,435
DL-알파-토코페롤(고시형),307
피로인산제이철,482
수산화마그네슘(고시형),226
비타민 K(고시형),308
홍삼분말,586
D-알파-토코페릴초산염혼합제제,307
L-젖산마그네슘,226
밀크씨슬(고시형),258
공액리놀레산(고시형),120
효모식품,90
Lactobacillus bulgaricus(고시형),541
루테인지아잔틴복합추출물(기능성원료인정제2018-4호),215
판토텐산(고시형),523
비타민 D3,306
스피루리나(고시형),347
요오드(고시형),414
황산아연,378
인산철(고시형),482
젖산칼슘(고시형),491
콜레우스포스콜리추출물(기능성원료인정제2012-5호),496
니코틴산(고시형),147
레몬추출분말,395
가르시니아캄보지아 추출물,101
분리대두단백분말,163
저분자콜라겐펩타이드(제2023-33호),452
ｄ-α-토코페릴호박산(고시형),307
조류추출유지,25
철(고시형),482
레티닐 팔미트산염(고시형),300
아세로라추출분말,305
L-아스코브산칼슘(고시형),305
우유단백,163
망간(고시형),236
L-아스코브산나트륨,305
돌외잎주정추출분말(액티포닌®)(기능성원료인정제2013-8호),187
루테인(고시형),214
L-아스코브산나트륨(고시형),305
Lactobacillus plantarum,541
"락토바실루스 아시도필루스 유산균{LACTOBACILLUS ACIDOPHILUS의 생균으로 100,000,000,000개/g 이상, 희석제(옥수수전분) 적량}",541
알로에 겔(고시형),381
알로에베라(고시형),381
